stage_ft, flow_cfs	
5.48	,	5051.60	
5.49	,	5068.46	
5.50	,	5085.34	
5.51	,	5102.23	
5.52	,	5119.14	
5.53	,	5136.05	
5.54	,	5152.98	
5.55	,	5169.91	
5.56	,	5186.86	
5.57	,	5203.82	
5.58	,	5220.79	
5.59	,	5237.78	
5.60	,	5254.77	
5.61	,	5271.78	
5.62	,	5288.79	
5.63	,	5305.82	
5.64	,	5322.86	
5.65	,	5339.91	
5.66	,	5356.98	
5.67	,	5374.05	
5.68	,	5391.14	
5.69	,	5408.23	
5.70	,	5425.34	
5.71	,	5442.46	
5.72	,	5459.59	
5.73	,	5476.73	
5.74	,	5493.88	
5.75	,	5511.05	
5.76	,	5528.22	
5.77	,	5545.41	
5.78	,	5562.60	
5.79	,	5579.81	
5.80	,	5597.03	
5.81	,	5614.26	
5.82	,	5631.50	
5.83	,	5648.75	
5.84	,	5666.01	
5.85	,	5683.29	
5.86	,	5700.57	
5.87	,	5717.87	
5.88	,	5735.17	
5.89	,	5752.49	
5.90	,	5769.82	
5.91	,	5787.15	
5.92	,	5804.50	
5.93	,	5821.86	
5.94	,	5839.23	
5.95	,	5856.62	
5.96	,	5874.01	
5.97	,	5891.41	
5.98	,	5908.83	
5.99	,	5926.25	
6.00	,	5943.68	
6.01	,	5961.13	
6.02	,	5978.59	
6.03	,	5996.05	
6.04	,	6013.53	
6.05	,	6031.02	
6.06	,	6048.52	
6.07	,	6066.02	
6.08	,	6083.54	
6.09	,	6101.07	
6.10	,	6118.61	
6.11	,	6136.16	
6.12	,	6153.73	
6.13	,	6171.30	
6.14	,	6188.88	
6.15	,	6206.47	
6.16	,	6224.07	
6.17	,	6241.69	
6.18	,	6259.31	
6.19	,	6276.94	
6.20	,	6294.59	
6.21	,	6312.24	
6.22	,	6329.91	
6.23	,	6347.58	
6.24	,	6365.27	
6.25	,	6382.96	
6.26	,	6400.67	
6.27	,	6418.38	
6.28	,	6436.11	
6.29	,	6453.84	
6.30	,	6471.59	
6.31	,	6489.34	
